model,tag,completed_updates,wall_time,value
fm,sub_loss/train_prior_loss_epoch,110840,1789418609.4105728,0.9588721990585327
fm,sub_loss/train_prior_loss_epoch,111180,1789418761.4036052,0.9588090777397156
fm,sub_loss/train_prior_loss_epoch,111520,1789418902.0294833,0.9588099122047424
fm,sub_loss/train_prior_loss_epoch,111860,1789419040.984282,0.9588462710380554
fm,sub_loss/train_prior_loss_epoch,112200,1789419184.6712997,0.9588261842727661
fm,sub_loss/train_prior_loss_epoch,112540,1789419323.5856473,0.9588850140571594
fm,sub_loss/train_prior_loss_epoch,112880,1789419463.2088766,0.9588566422462463
fm,sub_loss/train_prior_loss_epoch,113220,1789419607.2900915,0.9588784575462341
fm,sub_loss/train_prior_loss_epoch,113560,1789419747.6167305,0.9588127732276917
fm,sub_loss/train_prior_loss_epoch,113900,1789419887.704632,0.958823561668396
fm,sub_loss/train_prior_loss_epoch,114240,1789420031.5425854,0.9587959051132202
fm,sub_loss/train_prior_loss_epoch,114580,1789420170.6382756,0.9587973952293396
fm,sub_loss/train_prior_loss_epoch,114920,1789420309.778629,0.9588692784309387
fm,sub_loss/train_prior_loss_epoch,115260,1789420455.9777293,0.9588674306869507
fm,sub_loss/train_prior_loss_epoch,115600,1789420604.8206208,0.9589122533798218
fm,sub_loss/train_prior_loss_epoch,115940,1789420755.4938264,0.9587928652763367
fm,sub_loss/train_prior_loss_epoch,116280,1789420907.245519,0.9588035345077515
fm,sub_loss/train_prior_loss_epoch,116620,1789421045.4870744,0.9587591886520386
fm,sub_loss/train_prior_loss_epoch,116960,1789421185.6636715,0.9587235450744629
fm,sub_loss/train_prior_loss_epoch,117300,1789421327.887735,0.9587662816047668
fm,sub_loss/train_prior_loss_epoch,117640,1789421466.3380249,0.9588370323181152
fm,sub_loss/train_prior_loss_epoch,117980,1789421606.1265733,0.9588358998298645
fm,sub_loss/train_prior_loss_epoch,118320,1789421749.4923074,0.9588114023208618
fm,sub_loss/train_prior_loss_epoch,118660,1789421888.5828834,0.9587386250495911
fm,sub_loss/train_prior_loss_epoch,119000,1789422032.3513508,0.958716869354248
fm,sub_loss/train_prior_loss_epoch,119340,1789422171.465735,0.9586747884750366
fm,sub_loss/train_prior_loss_epoch,119680,1789422310.1569068,0.9587303996086121
fm,sub_loss/train_prior_loss_epoch,120020,1789422453.4365795,0.9587212204933167
fm,sub_loss/train_prior_loss_epoch,120360,1789422596.7662992,0.9587341547012329
fm,sub_loss/train_prior_loss_epoch,120700,1789422746.2762735,0.9587057828903198
fm,sub_loss/train_prior_loss_epoch,121040,1789422899.2445998,0.9587126970291138
fm,sub_loss/train_prior_loss_epoch,121380,1789423042.7165544,0.9586654305458069
fm,sub_loss/train_prior_loss_epoch,121720,1789423180.6429372,0.9586387872695923
fm,sub_loss/train_prior_loss_epoch,122060,1789423324.9629135,0.9586440324783325
fm,sub_loss/train_prior_loss_epoch,122400,1789423463.3990426,0.958708643913269
fm,sub_loss/train_prior_loss_epoch,122740,1789423603.1943936,0.9587263464927673
fm,sub_loss/train_prior_loss_epoch,123080,1789423747.7923806,0.9586844444274902
fm,sub_loss/train_prior_loss_epoch,123420,1789423887.41191,0.958671510219574
fm,sub_loss/train_prior_loss_epoch,123760,1789424026.8108294,0.9586604833602905
fm,sub_loss/train_prior_loss_epoch,124100,1789424170.0437837,0.9586208462715149
fm,sub_loss/train_prior_loss_epoch,124440,1789424308.5562632,0.9586513638496399
fm,sub_loss/train_prior_loss_epoch,124780,1789424448.6560404,0.9586665034294128
fm,sub_loss/train_prior_loss_epoch,125120,1789424592.9902122,0.9586403965950012
fm,sub_loss/train_prior_loss_epoch,125460,1789424738.2822561,0.9586060047149658
fm,sub_loss/train_prior_loss_epoch,125800,1789424886.991513,0.958620548248291
fm,sub_loss/train_prior_loss_epoch,126140,1789425044.883823,0.9586028456687927
fm,sub_loss/train_prior_loss_epoch,126480,1789425189.176021,0.9587076306343079
fm,sub_loss/train_prior_loss_epoch,126820,1789425330.611958,0.9587260484695435
fm,sub_loss/train_prior_loss_epoch,127160,1789425479.1279657,0.9586383104324341
fm,sub_loss/train_prior_loss_epoch,127500,1789425619.2550397,0.9586119055747986
fm,sub_loss/train_prior_loss_epoch,127840,1789425759.4277725,0.9586429595947266
fm,sub_loss/train_prior_loss_epoch,128180,1789425902.0922763,0.9586710333824158
fm,sub_loss/train_prior_loss_epoch,128520,1789426040.6168382,0.9585981965065002
fm,sub_loss/train_prior_loss_epoch,128860,1789426180.3274658,0.9585453867912292
fm,sub_loss/train_prior_loss_epoch,129200,1789426322.8705497,0.9585990309715271
fm,sub_loss/train_prior_loss_epoch,129540,1789426461.7470884,0.9586291313171387
fm,sub_loss/train_prior_loss_epoch,129880,1789426599.4925299,0.9585666060447693
fm,sub_loss/train_prior_loss_epoch,130220,1789426743.2817593,0.9585596919059753
fm,sub_loss/train_prior_loss_epoch,130560,1789426890.4441848,0.958618700504303
fm,sub_loss/train_prior_loss_epoch,130900,1789427040.1222658,0.9585962891578674
fm,sub_loss/train_prior_loss_epoch,131240,1789427191.5455356,0.958602249622345
fm,sub_loss/train_prior_loss_epoch,131580,1789427330.6207764,0.958590567111969
fm,sub_loss/train_prior_loss_epoch,131920,1789427470.1520543,0.9585539698600769
fm,sub_loss/train_prior_loss_epoch,132260,1789427614.3889394,0.9585710167884827
fm,sub_loss/train_prior_loss_epoch,132600,1789427754.2090547,0.9584980010986328
fm,sub_loss/train_prior_loss_epoch,132940,1789427895.0078192,0.9586068987846375
fm,sub_loss/train_prior_loss_epoch,133280,1789428038.6391134,0.9585842490196228
fm,sub_loss/train_prior_loss_epoch,133620,1789428178.2802494,0.9586048722267151
fm,sub_loss/train_prior_loss_epoch,133960,1789428318.304947,0.9585257768630981
fm,sub_loss/train_prior_loss_epoch,134300,1789428461.588292,0.958499550819397
fm,sub_loss/train_prior_loss_epoch,134640,1789428600.823929,0.9585099816322327
fm,sub_loss/train_prior_loss_epoch,134980,1789428739.651836,0.9585514664649963
fm,sub_loss/train_prior_loss_epoch,135320,1789428886.151878,0.9585415720939636
fm,sub_loss/train_prior_loss_epoch,135660,1789429032.792741,0.9585416913032532
fm,sub_loss/train_prior_loss_epoch,136000,1789429188.46284,0.9585102200508118
fm,sub_loss/train_prior_loss_epoch,136340,1789429335.1704993,0.9585369229316711
fm,sub_loss/train_prior_loss_epoch,136680,1789429474.0403242,0.9584901928901672
fm,sub_loss/train_prior_loss_epoch,137020,1789429618.0052638,0.9586508870124817
fm,sub_loss/train_prior_loss_epoch,137360,1789429757.3062878,0.9585434794425964
fm,sub_loss/train_prior_loss_epoch,137700,1789429896.5527263,0.9584773182868958
fm,sub_loss/train_prior_loss_epoch,138040,1789430039.9567585,0.9585081934928894
fm,sub_loss/train_prior_loss_epoch,138380,1789430180.3703656,0.9584721326828003
fm,sub_loss/train_prior_loss_epoch,138720,1789430319.3117635,0.9584057331085205
fm,sub_loss/train_prior_loss_epoch,139060,1789430462.8515983,0.9583963751792908
fm,sub_loss/val_prior_loss_epoch,1000,1789372146.438567,0.9684175848960876
fm,sub_loss/val_prior_loss_epoch,2000,1789372557.2383685,0.9671950340270996
fm,sub_loss/val_prior_loss_epoch,3000,1789372995.3120286,0.9667156338691711
fm,sub_loss/val_prior_loss_epoch,4000,1789373409.5782938,0.9664088487625122
fm,sub_loss/val_prior_loss_epoch,5000,1789373818.8146904,0.9665116667747498
fm,sub_loss/val_prior_loss_epoch,6000,1789374254.1010854,0.9663140177726746
fm,sub_loss/val_prior_loss_epoch,7000,1789374670.721015,0.9662757515907288
fm,sub_loss/val_prior_loss_epoch,8000,1789375084.5871654,0.9664267301559448
fm,sub_loss/val_prior_loss_epoch,9000,1789375497.8032055,0.9662265777587891
fm,sub_loss/val_prior_loss_epoch,10000,1789375909.2496767,0.9661368727684021
fm,sub_loss/val_prior_loss_epoch,11000,1789376350.145634,0.9659101963043213
fm,sub_loss/val_prior_loss_epoch,12000,1789376762.6279511,0.9658055305480957
