model,tag,start_inclusive,end_exclusive,count,mean,median,minimum,maximum
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,10000,20000,10,0.0613654512912035,0.06125937029719353,0.05993897467851639,0.06286486238241196
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,20000,40000,19,0.06232395728952006,0.06249669939279556,0.06012972071766853,0.06385411322116852
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,40000,60000,20,0.06228436883538961,0.06218318082392216,0.059992000460624695,0.0639747902750969
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,60000,80000,20,0.06235067248344421,0.06260088831186295,0.060199737548828125,0.06381992250680923
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,80000,100000,20,0.0621874338015914,0.062085093930363655,0.06082652509212494,0.06391595304012299
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,100000,120000,20,0.06289719715714455,0.06276671588420868,0.06177765876054764,0.06515100598335266
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,120000,136000,16,0.06295927776955068,0.06312001124024391,0.06123575195670128,0.06417382508516312
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,136000,139151,4,0.06267982441931963,0.06267044693231583,0.06225829944014549,0.06312010437250137
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,1000,10000,27,0.1847369588083691,0.18440210819244385,0.1785253882408142,0.19705866277217865
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,10000,20000,29,0.17492050549079632,0.17505314946174622,0.17176857590675354,0.17874224483966827
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,20000,40000,59,0.16995607846874303,0.16953164339065552,0.16725260019302368,0.1734185814857483
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,40000,60000,59,0.1671507873777616,0.1671084463596344,0.16469256579875946,0.16928967833518982
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,60000,80000,59,0.1671045319003574,0.167098268866539,0.16508321464061737,0.1697452962398529
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,80000,100000,59,0.166287745207043,0.1662963181734085,0.16396155953407288,0.16832031309604645
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,100000,120000,58,0.1658686026930809,0.16583076864480972,0.1642570048570633,0.16769224405288696
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,120000,136000,47,0.16510229605309507,0.16513599455356598,0.16353468596935272,0.16709190607070923
imf,duration_mask/train_constrained_score_gap_per_frame_mean_epoch,136000,139151,10,0.16405662149190903,0.16406521201133728,0.16273732483386993,0.16556845605373383
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,1000,10000,9,0.16685297257370418,0.16656804084777832,0.16223885118961334,0.17449642717838287
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,10000,20000,10,0.16317855566740036,0.1624351441860199,0.15678159892559052,0.16972042620182037
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,20000,40000,19,0.15983386729892932,0.15804283320903778,0.15425005555152893,0.16840237379074097
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,40000,60000,20,0.16075718477368356,0.1603362336754799,0.155679389834404,0.16637831926345825
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,60000,80000,20,0.16019847020506858,0.16021372377872467,0.15470391511917114,0.17076930403709412
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,80000,100000,20,0.16220861300826073,0.16232741624116898,0.15485787391662598,0.1685340702533722
imf,duration_mask/val_constrained_score_gap_per_frame_mean_epoch,100000,120000,20,0.1633455127477646,0.1628650203347206,0.15550675988197327,0.1718926727771759
